ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PGA_scaffold17:11292320-11292361,0.562026376210018,0.430634289073024,0.198640161608219,4.27747506304568,0.0347247256393701,4,5.11781073041138,-0.235621460822751,2.95966518725354,0.394579138037392,10
PGA_scaffold17:1185754-1185791,0.626477149152852,0.514420293898707,0.178482794788545,5.59070792886347,0.0163229712892153,4,6.61584917354502,-3.23169834709003,-0.0364116990137404,0.3185610803553,10
PGA_scaffold17:31551505-31551537,0.0952164621602278,-0.151542684523346,0.283987380696466,0.385868015187808,0.765390832342338,4,-0.075533896158333,10.1510677923167,13.6913187978277,0.887137156343235,11
PGA_scaffold18:18578165-18578210,0.650798351467302,0.546037856907493,0.156429596189541,6.21224970540542,0.0118289251836976,4,8.46225547903224,-6.92451095806447,-3.72922430998818,0.244702185640228,10
PGA_scaffold2:60352454-60352531,0.253543281834255,0.0499641768799608,0.242781072575486,1.24542880710267,0.340201933531315,4,2.2760116286829,5.4479767426342,8.98822774814525,0.648369141209938,11
PGA_scaffold3:1386898-1386979,0.254721410568977,0.0311378337396705,0.232535038602948,1.13926708831321,0.379820339876331,4,2.91216725445414,4.17566549109172,7.37095213916801,0.540725441780744,10
PGA_scaffold3:21766368-21766582,0.731942559951789,0.664928199939736,0.145076676081088,10.9221748863997,0.000954633110111448,4,10.4863260606288,-10.9726521212576,-7.10970851005874,0.252566903312842,12
PGA_scaffold3:23345894-23346043,0.0362146671576358,-0.204731666052955,0.0916055539971444,0.15030179822651,0.927498372697677,4,17.8426540640766,-25.6853081281532,-21.8223645169543,0.100698930277485,12
PGA_scaffold3:28868108-28868141,0.284663310265506,0.0895714857924623,0.336928198010866,1.45912475335346,0.279060285459231,4,-2.63963453159534,15.2792690631907,18.8195200687017,1.24872671676334,11
PGA_scaffold3:29471896-29471922,0.602549600932405,0.47006613457654,0.275234749772202,4.54811168145231,0.0333988297122393,4,0.715711968112328,8.56857606377534,11.393322851083,0.6817875073395,9
